N,impl,run_index,time_s,gflops
700,cupy_fp64,1,7.413339e-03,9.253590e+01
700,c,1,8.376632e-01,8.189449e-01
700,python,2,2.271985e+01,3.019386e-02
700,numpy,2,4.009886e-03,1.710772e+02
700,scipy,2,4.430717e-02,1.548282e+01
700,cupy_fp32,2,3.511420e-04,1.953626e+03
700,cupy_fp64,2,7.411744e-03,9.255581e+01
700,c,2,8.357415e-01,8.208280e-01
700,python,3,2.292252e+01,2.992690e-02
700,numpy,3,4.238610e-03,1.618455e+02
700,scipy,3,3.030678e-02,2.263520e+01
700,cupy_fp32,3,3.924910e-04,1.747811e+03
700,cupy_fp64,3,7.439643e-03,9.220873e+01
700,c,3,8.518963e-01,8.052623e-01
700,python,4,2.268889e+01,3.023506e-02
700,numpy,4,4.166729e-03,1.646375e+02
700,scipy,4,6.219958e-02,1.102901e+01
700,cupy_fp32,4,3.662900e-04,1.872833e+03
700,cupy_fp64,4,7.421494e-03,9.243422e+01
700,c,4,8.175056e-01,8.391380e-01
700,python,5,2.236792e+01,3.066892e-02
700,numpy,5,4.007319e-03,1.711868e+02
700,scipy,5,1.679568e-02,4.084384e+01
700,cupy_fp32,5,3.491720e-04,1.964648e+03
700,cupy_fp64,5,7.408777e-03,9.259288e+01
700,c,5,8.346085e-01,8.219422e-01
700,python,6,2.304385e+01,2.976933e-02
700,numpy,6,4.289289e-03,1.599333e+02
700,scipy,6,2.235884e-02,3.068138e+01
700,cupy_fp32,6,3.523520e-04,1.946917e+03
700,cupy_fp64,6,7.404212e-03,9.264997e+01
700,c,6,8.347768e-01,8.217766e-01
700,python,7,2.235286e+01,3.068958e-02
700,numpy,7,4.809326e-03,1.426395e+02
700,scipy,7,2.166656e-02,3.166169e+01
700,cupy_fp32,7,3.469240e-04,1.977378e+03
700,cupy_fp64,7,7.413420e-03,9.253489e+01
700,c,7,8.336675e-01,8.228701e-01
700,python,8,2.220779e+01,3.089007e-02
700,numpy,8,4.030330e-03,1.702094e+02
700,scipy,8,2.915461e-02,2.352972e+01
700,cupy_fp32,8,3.451600e-04,1.987484e+03
700,cupy_fp64,8,7.413271e-03,9.253675e+01
700,c,8,8.389906e-01,8.176492e-01
700,python,9,2.256024e+01,3.040748e-02
700,numpy,9,6.996584e-03,9.804785e+01
700,scipy,9,3.467798e-02,1.978200e+01
700,cupy_fp32,9,3.596290e-04,1.907521e+03
700,cupy_fp64,9,7.403953e-03,9.265321e+01
700,c,9,8.471821e-01,8.097433e-01
700,python,10,2.280936e+01,3.007538e-02
700,numpy,10,4.528409e-03,1.514881e+02
700,scipy,10,2.775895e-02,2.471275e+01
700,cupy_fp32,10,3.521010e-04,1.948305e+03
700,cupy_fp64,10,8.453077e-03,8.115388e+01
700,c,10,8.510102e-01,8.061008e-01
700,python,11,2.314496e+01,2.963928e-02
700,numpy,11,4.662041e-03,1.471459e+02
700,scipy,11,4.755441e-02,1.442558e+01
700,cupy_fp32,11,3.850380e-04,1.781642e+03
700,cupy_fp64,11,7.430692e-03,9.231980e+01
700,c,11,8.465727e-01,8.103261e-01
700,python,12,2.282426e+01,3.005573e-02
700,numpy,12,4.114131e-03,1.667424e+02
700,scipy,12,3.350914e-02,2.047202e+01
700,cupy_fp32,12,3.562430e-04,1.925652e+03
700,cupy_fp64,12,7.405883e-03,9.262906e+01
700,c,12,8.559479e-01,8.014506e-01
700,python,13,2.267259e+01,3.025679e-02
700,numpy,13,4.595257e-03,1.492844e+02
700,scipy,13,2.580013e-02,2.658901e+01
700,cupy_fp32,13,3.584780e-04,1.913646e+03
700,cupy_fp64,13,1.139927e-02,6.017931e+01
700,c,13,8.591556e-01,7.984583e-01
700,python,14,2.294616e+01,2.989607e-02
700,numpy,14,4.405032e-03,1.557310e+02
700,scipy,14,2.104010e-02,3.260441e+01
700,cupy_fp32,14,3.531340e-04,1.942605e+03
700,cupy_fp64,14,7.402817e-03,9.266743e+01
700,c,14,8.705796e-01,7.879808e-01
700,python,15,2.338928e+01,2.932968e-02
700,numpy,15,4.157143e-03,1.650172e+02
700,scipy,15,2.973918e-02,2.306721e+01
700,cupy_fp32,15,3.823560e-04,1.794139e+03
700,cupy_fp64,15,1.095318e-02,6.263022e+01
700,c,15,8.487706e-01,8.082278e-01
700,python,16,2.308900e+01,2.971112e-02
700,numpy,16,4.138287e-03,1.657691e+02
700,scipy,16,3.570182e-02,1.921471e+01
700,cupy_fp32,16,3.561990e-04,1.925890e+03
700,cupy_fp64,16,8.391901e-03,8.174548e+01
700,c,16,8.523547e-01,8.048293e-01
700,python,17,2.318054e+01,2.959379e-02
700,numpy,17,4.312869e-03,1.590589e+02
700,scipy,17,4.169624e-02,1.645232e+01
700,cupy_fp32,17,3.936630e-04,1.742607e+03
700,cupy_fp64,17,8.107585e-03,8.461213e+01
700,c,17,8.333331e-01,8.232002e-01
700,python,18,2.292818e+01,2.991952e-02
700,numpy,18,4.124438e-03,1.663257e+02
700,scipy,18,5.124056e-02,1.338783e+01
700,cupy_fp32,18,4.361503e-03,1.572852e+02
700,cupy_fp64,18,9.318314e-03,7.361847e+01
700,c,18,8.270210e-01,8.294832e-01
700,python,19,2.289191e+01,2.996692e-02
700,numpy,19,4.053202e-03,1.692489e+02
700,scipy,19,4.184183e-02,1.639508e+01
700,cupy_fp32,19,3.507260e-04,1.955943e+03
700,cupy_fp64,19,8.486802e-03,8.083139e+01
700,c,19,8.347438e-01,8.218091e-01
700,python,20,2.248389e+01,3.051073e-02
700,numpy,20,4.934876e-03,1.390106e+02
700,scipy,20,3.845047e-02,1.784113e+01
700,cupy_fp32,20,3.595240e-04,1.908078e+03
700,cupy_fp64,20,7.407419e-03,9.260986e+01
700,c,20,8.474985e-01,8.094410e-01
700,python,21,2.333236e+01,2.940123e-02
700,numpy,21,3.996209e-03,1.716627e+02
700,scipy,21,1.786659e-02,3.839570e+01
700,cupy_fp32,21,3.515240e-04,1.951503e+03
700,cupy_fp64,21,7.413267e-03,9.253680e+01
700,c,21,8.399044e-01,8.167596e-01
700,python,22,2.319112e+01,2.958029e-02
700,numpy,22,3.972208e-03,1.726999e+02
700,scipy,22,4.145145e-02,1.654948e+01
700,cupy_fp32,22,3.478330e-04,1.972211e+03
700,cupy_fp64,22,7.407557e-03,9.260813e+01
700,c,22,8.392699e-01,8.173772e-01
700,python,23,2.338264e+01,2.933800e-02
700,numpy,23,4.043002e-03,1.696759e+02
700,scipy,23,1.552843e-02,4.417705e+01
700,cupy_fp32,23,3.514680e-04,1.951814e+03
700,cupy_fp64,23,7.405977e-03,9.262789e+01
700,c,23,8.423310e-01,8.144067e-01
700,python,24,2.352581e+01,2.915947e-02
700,numpy,24,4.859469e-03,1.411677e+02
700,scipy,24,4.230189e-02,1.621677e+01
700,cupy_fp32,24,3.871040e-04,1.772134e+03
700,cupy_fp64,24,7.407350e-03,9.261072e+01
700,c,24,8.384685e-01,8.181584e-01
700,python,25,2.340227e+01,2.931340e-02
700,numpy,25,7.183861e-03,9.549183e+01
700,scipy,25,1.554067e-02,4.414224e+01
700,cupy_fp32,25,3.544070e-04,1.935628e+03
700,cupy_fp64,25,7.425435e-03,9.238516e+01
700,c,25,8.365343e-01,8.200501e-01
700,python,26,2.397314e+01,2.861536e-02
700,numpy,26,4.082124e-03,1.680498e+02
700,scipy,26,2.545457e-02,2.694998e+01
700,cupy_fp32,26,3.896760e-04,1.760437e+03
700,cupy_fp64,26,7.411202e-03,9.256258e+01
700,c,26,8.503639e-01,8.067134e-01
700,python,27,2.365688e+01,2.899791e-02
700,numpy,27,4.005310e-03,1.712726e+02
700,scipy,27,1.714230e-02,4.001797e+01
700,cupy_fp32,27,3.509850e-04,1.954499e+03
700,cupy_fp64,27,7.412511e-03,9.254624e+01
700,c,27,8.561234e-01,8.012863e-01
700,python,28,2.445735e+01,2.804883e-02
700,numpy,28,3.946830e-03,1.738104e+02
700,scipy,28,3.428015e-02,2.001158e+01
700,cupy_fp32,28,3.512690e-04,1.952919e+03
700,cupy_fp64,28,7.408855e-03,9.259191e+01
700,c,28,8.486314e-01,8.083603e-01
700,python,29,2.344468e+01,2.926038e-02
700,numpy,29,4.004699e-03,1.712988e+02
700,scipy,29,4.600863e-02,1.491025e+01
700,cupy_fp32,29,3.506510e-04,1.956361e+03
700,cupy_fp64,29,7.415137e-03,9.251346e+01
700,c,29,8.324970e-01,8.240270e-01
800,python,0,3.536275e+01,2.895702e-02
800,numpy,0,5.684342e-03,1.801440e+02
800,scipy,0,3.891171e-02,2.631599e+01
800,cupy_fp32,0,4.409910e-04,2.322043e+03
800,cupy_fp64,0,1.049545e-02,9.756607e+01
800,c,0,1.301874e+00,7.865586e-01
800,python,1,3.502878e+01,2.923311e-02
800,numpy,1,6.390266e-03,1.602437e+02
800,scipy,1,5.794893e-02,1.767073e+01
800,cupy_fp32,1,4.495620e-04,2.277773e+03
800,cupy_fp64,1,1.038132e-02,9.863866e+01
800,c,1,1.271629e+00,8.052665e-01
800,python,2,3.401852e+01,3.010125e-02
800,numpy,2,5.641470e-03,1.815130e+02
800,scipy,2,7.935984e-02,1.290325e+01
800,cupy_fp32,2,4.431410e-04,2.310777e+03
800,cupy_fp64,2,1.034018e-02,9.903118e+01
800,c,2,1.225049e+00,8.358849e-01
800,python,3,3.619112e+01,2.829423e-02
800,numpy,3,6.126067e-03,1.671546e+02
800,scipy,3,2.691516e-02,3.804547e+01
800,cupy_fp32,3,4.408330e-04,2.322875e+03
800,cupy_fp64,3,1.299779e-02,7.878261e+01
800,c,3,1.248598e+00,8.201197e-01
800,python,4,3.619743e+01,2.828930e-02
800,numpy,4,6.364415e-03,1.608946e+02
